date,sector,exchange,averageChange
2026-03-26,Communication Services,NASDAQ,-3.7212824937149724
2026-03-25,Communication Services,NASDAQ,-0.7218193218001989
2026-03-24,Communication Services,NASDAQ,-1.9138918716791187
2026-03-23,Communication Services,NASDAQ,-0.09570693305370748
2026-03-20,Communication Services,NASDAQ,-1.5164284824477292
2026-03-19,Communication Services,NASDAQ,0.10016008512045982
2026-03-18,Communication Services,NASDAQ,-0.39682624642083386
2026-03-17,Communication Services,NASDAQ,0.36216401422315414
2026-03-16,Communication Services,NASDAQ,-0.12424410084553861
2026-03-13,Communication Services,NASDAQ,-1.436252114686165
2026-03-12,Communication Services,NASDAQ,-1.2929178543123365
2026-03-11,Communication Services,NASDAQ,0.14635183356999093
2026-03-10,Communication Services,NASDAQ,0.047382693211917015
2026-03-09,Communication Services,NASDAQ,2.8527083404806586
2026-03-06,Communication Services,NASDAQ,0.17692193515210786
2026-03-05,Communication Services,NASDAQ,-0.40686957031803583
2026-03-04,Communication Services,NASDAQ,0.19687401699104434
2026-03-03,Communication Services,NASDAQ,1.3842449867049078
2026-03-02,Communication Services,NASDAQ,0.8430394447810574
2026-02-27,Communication Services,NASDAQ,1.549341588985964
2026-02-26,Communication Services,NASDAQ,-0.019911225605129257
2026-02-25,Communication Services,NASDAQ,0.7049639418752918
2026-02-24,Communication Services,NASDAQ,1.155899922112713
2026-02-23,Communication Services,NASDAQ,-0.30135184477902976
2026-02-20,Communication Services,NASDAQ,0.8898418404978958
2026-02-19,Communication Services,NASDAQ,-0.8190895833040779
2026-02-18,Communication Services,NASDAQ,-0.2204917987125854
2026-02-17,Communication Services,NASDAQ,-0.01676149060648724
2026-02-16,Communication Services,NASDAQ,0.9778165178855547
2026-02-13,Communication Services,NASDAQ,0.976101347127134
2026-02-12,Communication Services,NASDAQ,-2.1564118472068405
2026-02-11,Communication Services,NASDAQ,1.5825320598068071
2026-02-10,Communication Services,NASDAQ,0.8077376933924629
2026-02-09,Communication Services,NASDAQ,0.6902333818447293
2026-02-06,Communication Services,NASDAQ,-0.22729300775874428
2026-02-05,Communication Services,NASDAQ,-1.231204553545051
2026-02-04,Communication Services,NASDAQ,-0.3688777920915265
2026-02-03,Communication Services,NASDAQ,-0.41458673830711
2026-02-02,Communication Services,NASDAQ,-0.4345241278312262
2026-01-30,Communication Services,NASDAQ,0.3992031407895169
2026-01-29,Communication Services,NASDAQ,0.4400109612861858
